What is your age?,What is your gender?,What is your current educational level?,Are you or any of your family members scientist or health professional?,In what country are you currently in?,Are you interested in flu prevention?,Did you take the flu vaccine in the last 12 months?,"If you have children, did you vaccinate them or do you wish to vaccinate them?","What is, in your opinion, the best method we have to prevent flu spreading?",Is a vaccine necessary for a disease-free population?,How many times we have to typically take a flu shot? ,Is the flu shot accessible to all people? ,How does the flu spread?,Why is it important that you become immune from flu? ,What is the incubation period?,"In order to prevent flu spreading, what should you do? (Check all that applies)",Condition
25.0,Female,High School,No,Italy ,Yes,No,I do not have children,Stay home when we have flu,I do not know,I do not know,I do not know,Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Avoid touching your eyes, nose, and mouth;Wash often your hands",Control
26.0,Male,Bachelor degree,No,Italy ,Maybe,No,I do not have children,"If sick, be responsible avoiding contact and/or staying home",Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",I do not know,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine",Control
30.0,Female,Bachelor degree,No,USA,Yes,No,I do not have children,"Vaccine, mask, stay home when sick",Yes,Once per year,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
30.0,Male,High School,No,Italy ,Yes,No,I do not have children,I think that every people should wash hands,Yes,Only when flu spread particularly fast,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Stay home when you are sick;Cover your mouth and nose;Take vitamins;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables,Experimental
24.0,Female,High School,No,UAE,Yes,No,No,Check body status out + igiene / vaccine if necessary,Yes,I do not know,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Wash often your hair;Change often your clothes;Take the vaccine;Take antibiotics",Control
,Female,Bachelor degree,No,Italy ,No,No,Yes,Star lontani,Yes,I do not know,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Take the vaccine,Control
58.0,Female,High School,No,Italy ,Yes,No,Yes,vaccine,Yes,Only when flu spread particularly fast,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Flu may spread from a person to any other,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Avoid close contact with people who are sick;Help people who are sick;Stay home when you are sick;Cover your mouth and nose;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables,Control
20.0,Male,High School,No,USA,Yes,No,I do not have children,Stay home if your sick,No,Only when flu spread particularly fast,"Yes, all people can take a flu shot",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands;Take the vaccine",Control
23.0,Female,High School,Yes,Italy ,Yes,No,I do not have children,Healthy food and good life,Yes,Once per year,"Yes, all people can take a flu shot",I do not know,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,Take vitamins;Wash often your hands;Take the vaccine;Eat a lot of fruits and vegetables,Control
39.0,Male,Master degree,No,Italy ,Yes,No,,Stay alone,Yes,Only once in a lifetime,"No, some people cannot take a flu shot due to allergy or unhealthy conditions",Mainly person-to-person through respiratory droplets produced by an infected person,"Because I will stay healthy and not infect people around me (friends, children, relatives)",The time from the moment of exposure to an infectious agent until signs and symptoms of the disease appear,"Avoid close contact with people who are sick;Stay home when you are sick;Cover your mouth and nose;Avoid touching your eyes, nose, and mouth;Wash often your hands",Control
